DataType=double
version=3
OpenSimVersion=4.2
endheader
time,chest_x,chest_y,chest_z,humerus_x,humerus_y,humerus_z,radius_x,radius_y,radius_z
1603806798396,10.52535,1.277966,5.287894,10.3513,1.50395,4.969375,10.59843,1.54232,4.885076
1603806798407,10.52548,1.277952,5.287938,10.35141,1.503982,4.969428,10.59864,1.542316,4.88509
1603806798418,10.52564,1.27793,5.287899,10.35143,1.50396,4.969484,10.59881,1.542277,4.885163
1603806798430,10.5258,1.277895,5.287913,10.35164,1.504111,4.969584,10.59921,1.542171,4.885184
1603806798440,10.52605,1.277915,5.287757,10.35175,1.504197,4.969664,10.59937,1.542168,4.885256
1603806798451,10.52621,1.277865,5.287767,10.35194,1.504263,4.969803,10.59959,1.542085,4.885256
1603806798463,10.52642,1.277915,5.287677,10.35206,1.504317,4.9699,10.59973,1.54207,4.885326
1603806798473,10.5264,1.277845,5.287939,10.35219,1.504358,4.970016,10.59986,1.542013,4.885485
1603806798484,10.52647,1.277801,5.288025,10.35229,1.504362,4.970129,10.6,1.542021,4.885572
1603806798496,10.52668,1.277785,5.287909,10.35238,1.50441,4.970243,10.60013,1.542038,4.88562
1603806798507,10.52686,1.277702,5.287908,10.35246,1.504389,4.970433,10.60027,1.542073,4.885697
1603806798518,10.52697,1.277599,5.287981,10.35257,1.504392,4.970535,10.60048,1.542125,4.885749
1603806798530,10.52714,1.277534,5.287972,10.35271,1.504491,4.97053,10.60059,1.542191,4.885831
1603806798540,10.52732,1.27762,5.287894,10.35283,1.504606,4.970608,10.60063,1.542275,4.885867
1603806798551,10.52745,1.277602,5.287924,10.35299,1.504749,4.970682,10.60075,1.542384,4.885927
1603806798563,10.52773,1.277753,5.287739,10.35308,1.504845,4.970738,10.60084,1.542473,4.886
1603806798573,10.52799,1.277868,5.287641,10.3531,1.504952,4.970865,10.6009,1.542511,4.886136
1603806798585,10.52813,1.277906,5.287652,10.35318,1.505017,4.970928,10.60096,1.542618,4.886194
1603806798596,10.52816,1.277903,5.287709,10.35318,1.504947,4.970875,10.601,1.542744,4.886232
1603806798607,10.52827,1.277918,5.287722,10.35324,1.504945,4.970904,10.60103,1.542837,4.886285
1603806798617,10.52838,1.277972,5.287776,10.35329,1.504943,4.970919,10.60104,1.542935,4.886339
1603806798630,10.52851,1.277966,5.287785,10.35335,1.50486,4.970909,10.60103,1.542988,4.886386
1603806798640,10.52844,1.277842,5.287963,10.35339,1.504811,4.970951,10.60104,1.542999,4.886399
1603806798651,10.52857,1.277836,5.287971,10.35359,1.504736,4.970968,10.601,1.543015,4.886437
1603806798663,10.5286,1.27781,5.288017,10.35364,1.504689,4.970994,10.60095,1.543104,4.886436
1603806798674,10.52876,1.277803,5.288007,10.35377,1.50467,4.970971,10.60093,1.54308,4.88641
1603806798684,10.5287,1.277703,5.288084,10.35382,1.504632,4.970998,10.60089,1.543046,4.88639
1603806798696,10.52905,1.277844,5.287883,10.35385,1.504623,4.971057,10.60081,1.542978,4.886425
1603806798707,10.52909,1.27788,5.28794,10.3539,1.5046,4.971097,10.60082,1.542958,4.886335
1603806798718,10.52936,1.277962,5.28787,10.35384,1.504588,4.971158,10.60083,1.542897,4.886292
1603806798729,10.5295,1.277951,5.287898,10.35375,1.504496,4.971266,10.60092,1.542907,4.886226
1603806798740,10.52969,1.277965,5.287817,10.35373,1.504444,4.971315,10.60092,1.542846,4.886193
1603806798751,10.52982,1.27794,5.28781,10.35378,1.504405,4.971323,10.60096,1.542799,4.88607
1603806798763,10.52984,1.277863,5.287822,10.35392,1.504388,4.971357,10.60092,1.542759,4.886079
1603806798773,10.52995,1.277856,5.287821,10.35393,1.504294,4.971407,10.60094,1.542603,4.886075
1603806798785,10.53022,1.277948,5.287699,10.35396,1.504289,4.971438,10.60093,1.542506,4.886049
1603806798796,10.53046,1.278023,5.287609,10.35406,1.504209,4.971432,10.60094,1.542305,4.885927
1603806798806,10.53059,1.278037,5.287636,10.35409,1.504186,4.971462,10.60091,1.542171,4.88594
1603806798818,10.53078,1.278084,5.287512,10.35413,1.504123,4.971476,10.60097,1.542,4.885915
1603806798829,10.53088,1.278075,5.287511,10.35416,1.504045,4.971452,10.60102,1.541919,4.885846
1603806798840,10.53118,1.27815,5.28731,10.3542,1.503965,4.971447,10.60099,1.541823,4.885859
1603806798851,10.53128,1.278131,5.287288,10.35412,1.503964,4.971534,10.60116,1.541712,4.885653
1603806798863,10.53138,1.278032,5.2872,10.35416,1.503887,4.971573,10.60118,1.541609,4.885619
1603806798873,10.53115,1.277896,5.28746,10.35425,1.503793,4.971596,10.60116,1.541592,4.885637
1603806798884,10.53122,1.277883,5.287458,10.35428,1.503725,4.971622,10.60116,1.541508,4.885628
1603806798896,10.53112,1.277817,5.287596,10.35431,1.503659,4.97161,10.60124,1.541445,4.885546
1603806798906,10.53115,1.277826,5.287634,10.3543,1.503619,4.971643,10.60124,1.541343,4.885562
1603806798917,10.53123,1.277793,5.287519,10.35429,1.503565,4.971636,10.60121,1.541205,4.885555
1603806798929,10.53125,1.2778,5.28754,10.35424,1.503515,4.971651,10.6012,1.541132,4.885551
1603806798940,10.53134,1.277828,5.287458,10.35421,1.50346,4.97168,10.60115,1.54108,4.885577
1603806798951,10.53139,1.277826,5.28747,10.35413,1.50339,4.971753,10.60112,1.541041,4.885607
1603806798962,10.53131,1.277757,5.287486,10.35407,1.50336,4.971784,10.60106,1.541089,4.885661
1603806798973,10.53131,1.277774,5.287472,10.35394,1.503365,4.97187,10.60098,1.541025,4.88561
1603806798984,10.53133,1.277767,5.287477,10.35385,1.503337,4.9719,10.60092,1.541019,4.885631
1603806798996,10.53127,1.277707,5.28754,10.35374,1.503357,4.971945,10.60091,1.540998,4.885581
1603806799007,10.53125,1.277704,5.287532,10.35366,1.503371,4.971977,10.60079,1.540983,4.885607
1603806799017,10.53112,1.277684,5.287605,10.35359,1.503376,4.972019,10.60074,1.540965,4.88558
1603806799029,10.53075,1.277586,5.287878,10.3534,1.503476,4.972077,10.60062,1.540986,4.885596
1603806799040,10.5307,1.277585,5.287885,10.35328,1.503469,4.972129,10.60054,1.54092,4.885515
1603806799051,10.53055,1.277559,5.287903,10.35308,1.50351,4.972255,10.60039,1.540955,4.885565
1603806799062,10.53051,1.277555,5.28791,10.35293,1.503484,4.972323,10.60026,1.540987,4.885548
1603806799073,10.5303,1.277514,5.288086,10.35279,1.503511,4.972409,10.60007,1.540981,4.885668
1603806799085,10.53025,1.277507,5.288112,10.35265,1.503519,4.972479,10.59991,1.541044,4.885678
1603806799098,10.53025,1.277532,5.288059,10.35256,1.503533,4.97253,10.59969,1.540971,4.885778
1603806799108,10.5302,1.277527,5.288083,10.35244,1.503561,4.972598,10.59953,1.541009,4.885798
1603806799117,10.53024,1.277572,5.287989,10.3523,1.503611,4.972706,10.5993,1.541148,4.885696
1603806799129,10.53024,1.277549,5.287957,10.35217,1.503677,4.972784,10.59914,1.541214,4.885688
1603806799140,10.53022,1.277552,5.287957,10.35206,1.50371,4.972836,10.59904,1.541311,4.885708
1603806799151,10.53014,1.277614,5.288042,10.35191,1.503737,4.972896,10.59887,1.54141,4.885786
1603806799163,10.53011,1.277642,5.288063,10.35195,1.503672,4.972875,10.59867,1.54153,4.885807
1603806799173,10.53008,1.27759,5.288043,10.35187,1.503695,4.972973,10.59868,1.541491,4.885808
1603806799184,10.53001,1.277596,5.288085,10.35177,1.503714,4.973068,10.59857,1.54157,4.885859
1603806799196,10.53005,1.277579,5.288018,10.3517,1.503756,4.973222,10.59842,1.541662,4.88595
1603806799206,10.53005,1.277569,5.288028,10.35159,1.503806,4.973339,10.5983,1.541758,4.88602
1603806799217,10.53007,1.277622,5.287884,10.3514,1.503914,4.973453,10.59817,1.541848,4.886158
1603806799229,10.52989,1.277578,5.287961,10.35133,1.504006,4.973502,10.59808,1.541997,4.886195
